V1	V2	V3	Iv1	Time
1	0.00224495	0.00224495	-197.535	0.197977
1	0.00224495	0.00224495	-197.54	0.197982
1	0.00224495	0.00224495	-197.544	0.197986
1	0.00224495	0.00224495	-197.549	0.197991
1	0.00224495	0.00224495	-197.553	0.197995
1	0.00224495	0.00224495	-197.558	0.198
1	0.00224495	0.00224495	-197.562	0.198004
1	0.00224495	0.00224495	-197.567	0.198009
1	0.00224495	0.00224495	-197.571	0.198013
1	0.00224495	0.00224495	-197.576	0.198018
1	0.00224495	0.00224495	-197.58	0.198022
1	0.00224495	0.00224495	-197.585	0.198027
1	0.00224495	0.00224495	-197.589	0.198031
1	0.00224495	0.00224495	-197.594	0.198036
1	0.00224495	0.00224495	-197.598	0.19804
1	0.00224495	0.00224495	-197.603	0.198045
1	0.00224495	0.00224495	-197.607	0.198049
1	0.00224495	0.00224495	-197.612	0.198054
1	0.00224495	0.00224495	-197.616	0.198058
1	0.00224495	0.00224495	-197.621	0.198063
1	0.00224495	0.00224495	-197.625	0.198067
1	0.00224495	0.00224495	-197.63	0.198072
1	0.00224495	0.00224495	-197.634	0.198076
1	0.00224495	0.00224495	-197.639	0.198081
1	0.00224495	0.00224495	-197.643	0.198085
1	0.00224495	0.00224495	-197.648	0.19809
1	0.00224495	0.00224495	-197.652	0.198094
1	0.00224495	0.00224495	-197.657	0.198099
1	0.00224495	0.00224495	-197.661	0.198103
1	0.00224495	0.00224495	-197.666	0.198108
1	0.00224495	0.00224495	-197.67	0.198112
1	0.00224495	0.00224495	-197.674	0.198117
1	0.00224495	0.00224495	-197.679	0.198121
1	0.00224495	0.00224495	-197.683	0.198126
1	0.00224495	0.00224495	-197.688	0.19813
1	0.00224495	0.00224495	-197.692	0.198135
1	0.00224495	0.00224495	-197.697	0.198139
1	0.00224495	0.00224495	-197.701	0.198144
1	0.00224495	0.00224495	-197.706	0.198148
1	0.00224495	0.00224495	-197.71	0.198153
1	0.00224495	0.00224495	-197.715	0.198157
1	0.00224495	0.00224495	-197.719	0.198162
1	0.00224495	0.00224495	-197.724	0.198166
1	0.00224495	0.00224495	-197.728	0.198171
1	0.00224495	0.00224495	-197.733	0.198175
1	0.00224495	0.00224495	-197.737	0.19818
1	0.00224495	0.00224495	-197.742	0.198184
1	0.00224495	0.00224495	-197.746	0.198189
1	0.00224495	0.00224495	-197.751	0.198193
1	0.00224495	0.00224495	-197.755	0.198198
1	0.00224495	0.00224495	-197.76	0.198202
1	0.00224495	0.00224495	-197.764	0.198207
1	0.00224495	0.00224495	-197.769	0.198211
1	0.00224495	0.00224495	-197.773	0.198216
1	0.00224495	0.00224495	-197.778	0.19822
1	0.00224495	0.00224495	-197.782	0.198225
1	0.00224495	0.00224495	-197.787	0.198229
1	0.00224495	0.00224495	-197.791	0.198234
1	0.00224495	0.00224495	-197.796	0.198238
1	0.00224495	0.00224495	-197.8	0.198243
1	0.00224495	0.00224495	-197.805	0.198247
1	0.00224495	0.00224495	-197.809	0.198252
1	0.00224495	0.00224495	-197.814	0.198256
1	0.00224495	0.00224495	-197.818	0.198261
1	0.00224495	0.00224495	-197.823	0.198265
1	0.00224495	0.00224495	-197.827	0.19827
1	0.00224495	0.00224495	-197.832	0.198274
1	0.00224495	0.00224495	-197.836	0.198279
1	0.00224495	0.00224495	-197.841	0.198283
1	0.00224495	0.00224495	-197.845	0.198288
1	0.00224495	0.00224495	-197.85	0.198292
1	0.00224495	0.00224495	-197.854	0.198297
1	0.00224495	0.00224495	-197.859	0.198301
1	0.00224495	0.00224495	-197.863	0.198306
1	0.00224495	0.00224495	-197.868	0.19831
1	0.00224495	0.00224495	-197.872	0.198315
1	0.00224495	0.00224495	-197.877	0.198319
1	0.00224495	0.00224495	-197.881	0.198324
1	0.00224495	0.00224495	-197.886	0.198328
1	0.00224495	0.00224495	-197.89	0.198333
1	0.00224495	0.00224495	-197.894	0.198337
1	0.00224495	0.00224495	-197.899	0.198342
1	0.00224495	0.00224495	-197.903	0.198346
1	0.00224495	0.00224495	-197.908	0.198351
1	0.00224495	0.00224495	-197.912	0.198355
1	0.00224495	0.00224495	-197.917	0.19836
1	0.00224495	0.00224495	-197.921	0.198364
1	0.00224495	0.00224495	-197.926	0.198369
1	0.00224495	0.00224495	-197.93	0.198373
1	0.00224495	0.00224495	-197.935	0.198378
1	0.00224495	0.00224495	-197.939	0.198382
1	0.00224495	0.00224495	-197.944	0.198387
1	0.00224495	0.00224495	-197.948	0.198391
1	0.00224495	0.00224495	-197.953	0.198396
1	0.00224495	0.00224495	-197.957	0.1984
1	0.00224495	0.00224495	-197.962	0.198405
1	0.00224495	0.00224495	-197.966	0.198409
1	0.00224495	0.00224495	-197.971	0.198414
1	0.00224495	0.00224495	-197.975	0.198418
1	0.00224495	0.00224495	-197.98	0.198423
1	0.00224495	0.00224495	-197.984	0.198427
1	0.00224495	0.00224495	-197.989	0.198432
1	0.00224495	0.00224495	-197.993	0.198436
1	0.00224495	0.00224495	-197.998	0.198441
1	0.00224495	0.00224495	-198.002	0.198445
1	0.00224495	0.00224495	-198.007	0.19845
1	0.00224495	0.00224495	-198.011	0.198454
1	0.00224495	0.00224495	-198.016	0.198459
1	0.00224495	0.00224495	-198.02	0.198463
1	0.00224495	0.00224495	-198.025	0.198468
1	0.00224495	0.00224495	-198.029	0.198472
1	0.00224495	0.00224495	-198.034	0.198477
1	0.00224495	0.00224495	-198.038	0.198481
1	0.00224495	0.00224495	-198.043	0.198486
1	0.00224495	0.00224495	-198.047	0.19849
1	0.00224495	0.00224495	-198.052	0.198495
1	0.00224495	0.00224495	-198.056	0.198499
1	0.00224495	0.00224495	-198.061	0.198504
1	0.00224495	0.00224495	-198.065	0.198508
1	0.00224495	0.00224495	-198.07	0.198513
1	0.00224495	0.00224495	-198.074	0.198517
1	0.00224495	0.00224495	-198.079	0.198522
1	0.00224495	0.00224495	-198.083	0.198526
1	0.00224495	0.00224495	-198.088	0.198531
1	0.00224495	0.00224495	-198.092	0.198535
1	0.00224495	0.00224495	-198.097	0.19854
1	0.00224495	0.00224495	-198.101	0.198544
1	0.00224495	0.00224495	-198.106	0.198549
1	0.00224495	0.00224495	-198.11	0.198553
1	0.00224495	0.00224495	-198.114	0.198558
1	0.00224495	0.00224495	-198.119	0.198562
1	0.00224495	0.00224495	-198.123	0.198567
1	0.00224495	0.00224495	-198.128	0.198571
1	0.00224495	0.00224495	-198.132	0.198576
1	0.00224495	0.00224495	-198.137	0.19858
1	0.00224495	0.00224495	-198.141	0.198585
1	0.00224495	0.00224495	-198.146	0.198589
1	0.00224495	0.00224495	-198.15	0.198594
1	0.00224495	0.00224495	-198.155	0.198598
1	0.00224495	0.00224495	-198.159	0.198603
1	0.00224495	0.00224495	-198.164	0.198607
1	0.00224495	0.00224495	-198.168	0.198612
1	0.00224495	0.00224495	-198.173	0.198616
1	0.00224495	0.00224495	-198.177	0.198621
1	0.00224495	0.00224495	-198.182	0.198625
1	0.00224495	0.00224495	-198.186	0.19863
1	0.00224495	0.00224495	-198.191	0.198634
1	0.00224495	0.00224495	-198.195	0.198639
1	0.00224495	0.00224495	-198.2	0.198643
1	0.00224495	0.00224495	-198.204	0.198648
1	0.00224495	0.00224495	-198.209	0.198652
1	0.00224495	0.00224495	-198.213	0.198657
1	0.00224495	0.00224495	-198.218	0.198661
1	0.00224495	0.00224495	-198.222	0.198666
1	0.00224495	0.00224495	-198.227	0.19867
1	0.00224495	0.00224495	-198.231	0.198675
1	0.00224495	0.00224495	-198.236	0.198679
1	0.00224495	0.00224495	-198.24	0.198684
1	0.00224495	0.00224495	-198.245	0.198688
1	0.00224495	0.00224495	-198.249	0.198693
1	0.00224495	0.00224495	-198.254	0.198697
1	0.00224495	0.00224495	-198.258	0.198702
1	0.00224495	0.00224495	-198.263	0.198706
1	0.00224495	0.00224495	-198.267	0.198711
1	0.00224495	0.00224495	-198.272	0.198715
1	0.00224495	0.00224495	-198.276	0.19872
1	0.00224495	0.00224495	-198.281	0.198724
1	0.00224495	0.00224495	-198.285	0.198729
1	0.00224495	0.00224495	-198.29	0.198733
1	0.00224495	0.00224495	-198.294	0.198738
1	0.00224495	0.00224495	-198.299	0.198742
1	0.00224495	0.00224495	-198.303	0.198747
1	0.00224495	0.00224495	-198.308	0.198751
1	0.00224495	0.00224495	-198.312	0.198756
1	0.00224495	0.00224495	-198.317	0.19876
1	0.00224495	0.00224495	-198.321	0.198765
1	0.00224495	0.00224495	-198.326	0.198769
1	0.00224495	0.00224495	-198.33	0.198774
1	0.00224495	0.00224495	-198.335	0.198778
1	0.00224495	0.00224495	-198.339	0.198783
1	0.00224495	0.00224495	-198.343	0.198787
1	0.00224495	0.00224495	-198.348	0.198792
1	0.00224495	0.00224495	-198.352	0.198796
1	0.00224495	0.00224495	-198.357	0.198801
1	0.00224495	0.00224495	-198.361	0.198805
1	0.00224495	0.00224495	-198.366	0.19881
1	0.00224495	0.00224495	-198.37	0.198814
1	0.00224495	0.00224495	-198.375	0.198819
1	0.00224495	0.00224495	-198.379	0.198823
1	0.00224495	0.00224495	-198.384	0.198828
1	0.00224495	0.00224495	-198.388	0.198832
1	0.00224495	0.00224495	-198.393	0.198837
1	0.00224495	0.00224495	-198.397	0.198841
1	0.00224495	0.00224495	-198.402	0.198846
1	0.00224495	0.00224495	-198.406	0.19885
1	0.00224495	0.00224495	-198.411	0.198855
1	0.00224495	0.00224495	-198.415	0.198859
1	0.00224495	0.00224495	-198.42	0.198864
1	0.00224495	0.00224495	-198.424	0.198868
1	0.00224495	0.00224495	-198.429	0.198873
1	0.00224495	0.00224495	-198.433	0.198877
1	0.00224495	0.00224495	-198.438	0.198882
1	0.00224495	0.00224495	-198.442	0.198886
1	0.00224495	0.00224495	-198.447	0.198891
1	0.00224495	0.00224495	-198.451	0.198895
1	0.00224495	0.00224495	-198.456	0.1989
1	0.00224495	0.00224495	-198.46	0.198904
1	0.00224495	0.00224495	-198.465	0.198909
1	0.00224495	0.00224495	-198.469	0.198913
1	0.00224495	0.00224495	-198.474	0.198918
1	0.00224495	0.00224495	-198.478	0.198922
1	0.00224495	0.00224495	-198.483	0.198927
1	0.00224495	0.00224495	-198.487	0.198931
1	0.00224495	0.00224495	-198.492	0.198936
1	0.00224495	0.00224495	-198.496	0.19894
1	0.00224495	0.00224495	-198.501	0.198945
1	0.00224495	0.00224495	-198.505	0.198949
1	0.00224495	0.00224495	-198.51	0.198954
1	0.00224495	0.00224495	-198.514	0.198958
1	0.00224495	0.00224495	-198.519	0.198963
1	0.00224495	0.00224495	-198.523	0.198967
1	0.00224495	0.00224495	-198.528	0.198972
1	0.00224495	0.00224495	-198.532	0.198976
1	0.00224495	0.00224495	-198.537	0.198981
1	0.00224495	0.00224495	-198.541	0.198985
1	0.00224495	0.00224495	-198.546	0.19899
1	0.00224495	0.00224495	-198.55	0.198994
1	0.00224495	0.00224495	-198.555	0.198999
1	0.00224495	0.00224495	-198.559	0.199003
1	0.00224495	0.00224495	-198.563	0.199008
1	0.00224495	0.00224495	-198.568	0.199012
1	0.00224495	0.00224495	-198.572	0.199017
1	0.00224495	0.00224495	-198.577	0.199021
1	0.00224495	0.00224495	-198.581	0.199026
1	0.00224495	0.00224495	-198.586	0.19903
1	0.00224495	0.00224495	-198.59	0.199035
1	0.00224495	0.00224495	-198.595	0.199039
1	0.00224495	0.00224495	-198.599	0.199044
1	0.00224495	0.00224495	-198.604	0.199048
1	0.00224495	0.00224495	-198.608	0.199053
1	0.00224495	0.00224495	-198.613	0.199057
1	0.00224495	0.00224495	-198.617	0.199062
1	0.00224495	0.00224495	-198.622	0.199066
1	0.00224495	0.00224495	-198.626	0.199071
1	0.00224495	0.00224495	-198.631	0.199075
1	0.00224495	0.00224495	-198.635	0.19908
1	0.00224495	0.00224495	-198.64	0.199084
1	0.00224495	0.00224495	-198.644	0.199089
1	0.00224495	0.00224495	-198.649	0.199093
1	0.00224495	0.00224495	-198.653	0.199098
1	0.00224495	0.00224495	-198.658	0.199102
1	0.00224495	0.00224495	-198.662	0.199107
1	0.00224495	0.00224495	-198.667	0.199111
1	0.00224495	0.00224495	-198.671	0.199116
1	0.00224495	0.00224495	-198.676	0.19912
1	0.00224495	0.00224495	-198.68	0.199125
1	0.00224495	0.00224495	-198.685	0.199129
1	0.00224495	0.00224495	-198.689	0.199134
1	0.00224495	0.00224495	-198.694	0.199138
1	0.00224495	0.00224495	-198.698	0.199143
1	0.00224495	0.00224495	-198.703	0.199147
1	0.00224495	0.00224495	-198.707	0.199152
1	0.00224495	0.00224495	-198.712	0.199156
1	0.00224495	0.00224495	-198.716	0.199161
1	0.00224495	0.00224495	-198.721	0.199165
1	0.00224495	0.00224495	-198.725	0.19917
1	0.00224495	0.00224495	-198.73	0.199174
1	0.00224495	0.00224495	-198.734	0.199179
1	0.00224495	0.00224495	-198.739	0.199183
1	0.00224495	0.00224495	-198.743	0.199188
1	0.00224495	0.00224495	-198.748	0.199192
1	0.00224495	0.00224495	-198.752	0.199197
1	0.00224495	0.00224495	-198.757	0.199201
1	0.00224495	0.00224495	-198.761	0.199206
1	0.00224495	0.00224495	-198.766	0.19921
1	0.00224495	0.00224495	-198.77	0.199215
1	0.00224495	0.00224495	-198.775	0.199219
1	0.00224495	0.00224495	-198.779	0.199224
1	0.00224495	0.00224495	-198.783	0.199228
1	0.00224495	0.00224495	-198.788	0.199233
1	0.00224495	0.00224495	-198.792	0.199237
1	0.00224495	0.00224495	-198.797	0.199242
1	0.00224495	0.00224495	-198.801	0.199246
1	0.00224495	0.00224495	-198.806	0.199251
1	0.00224495	0.00224495	-198.81	0.199255
1	0.00224495	0.00224495	-198.815	0.19926
1	0.00224495	0.00224495	-198.819	0.199264
1	0.00224495	0.00224495	-198.824	0.199269
1	0.00224495	0.00224495	-198.828	0.199273
1	0.00224495	0.00224495	-198.833	0.199278
1	0.00224495	0.00224495	-198.837	0.199282
1	0.00224495	0.00224495	-198.842	0.199287
1	0.00224495	0.00224495	-198.846	0.199291
1	0.00224495	0.00224495	-198.851	0.199296
1	0.00224495	0.00224495	-198.855	0.1993
1	0.00224495	0.00224495	-198.86	0.199305
1	0.00224495	0.00224495	-198.864	0.199309
1	0.00224495	0.00224495	-198.869	0.199314
1	0.00224495	0.00224495	-198.873	0.199318
1	0.00224495	0.00224495	-198.878	0.199323
1	0.00224495	0.00224495	-198.882	0.199327
1	0.00224495	0.00224495	-198.887	0.199332
1	0.00224495	0.00224495	-198.891	0.199336
1	0.00224495	0.00224495	-198.896	0.199341
1	0.00224495	0.00224495	-198.9	0.199345
1	0.00224495	0.00224495	-198.905	0.19935
1	0.00224495	0.00224495	-198.909	0.199354
1	0.00224495	0.00224495	-198.914	0.199359
1	0.00224495	0.00224495	-198.918	0.199363
1	0.00224495	0.00224495	-198.923	0.199368
1	0.00224495	0.00224495	-198.927	0.199372
1	0.00224495	0.00224495	-198.932	0.199377
1	0.00224495	0.00224495	-198.936	0.199381
1	0.00224495	0.00224495	-198.941	0.199386
1	0.00224495	0.00224495	-198.945	0.19939
1	0.00224495	0.00224495	-198.95	0.199395
1	0.00224495	0.00224495	-198.954	0.199399
1	0.00224495	0.00224495	-198.959	0.199404
1	0.00224495	0.00224495	-198.963	0.199408
1	0.00224495	0.00224495	-198.968	0.199413
1	0.00224495	0.00224495	-198.972	0.199417
1	0.00224495	0.00224495	-198.977	0.199422
1	0.00224495	0.00224495	-198.981	0.199426
1	0.00224495	0.00224495	-198.986	0.199431
1	0.00224495	0.00224495	-198.99	0.199435
1	0.00224495	0.00224495	-198.995	0.19944
1	0.00224495	0.00224495	-198.999	0.199444
1	0.00224495	0.00224495	-199.003	0.199449
