Time	Iv
0.00071	0.119579
0.000711	0.120245
0.000712	0.120912
0.000713	0.12158
0.000714	0.122248
0.000715	0.122917
0.000716	0.123587
0.000717	0.124257
0.000718	0.124928
0.000719	0.1256
0.00072	0.126273
0.000721	0.126946
0.000722	0.12762
0.000723	0.128295
0.000724	0.12897
0.000725	0.129646
0.000727	0.129614
0.000728	0.129581
0.000729	0.129549
0.00073	0.129516
0.000731	0.129484
0.000732	0.129452
0.000733	0.129419
0.000734	0.129387
0.000735	0.129355
0.000736	0.129322
0.000737	0.12929
0.000738	0.129258
0.000739	0.129225
0.00074	0.129193
0.000741	0.129161
0.000742	0.129129
0.000743	0.129096
0.000744	0.129064
0.000745	0.129032
0.000746	0.129
0.000747	0.128967
0.000748	0.128935
0.000749	0.128903
0.00075	0.128871
0.000751	0.128838
0.000752	0.128806
0.000753	0.128774
0.000754	0.128742
0.000755	0.12871
0.000756	0.128677
0.000757	0.128645
0.000758	0.128613
0.000759	0.128581
0.00076	0.128549
0.000761	0.128517
0.000762	0.128485
0.000763	0.128452
0.000764	0.12842
0.000765	0.128388
0.000766	0.128356
0.000767	0.128324
0.000768	0.128292
0.000769	0.12826
0.00077	0.128228
0.000771	0.128196
0.000772	0.128164
0.000773	0.128132
0.000774	0.1281
0.000775	0.128068
0.000776	0.128036
0.000777	0.128004
0.000779	0.128734
0.00078	0.129464
0.000781	0.130196
0.000782	0.130928
0.000783	0.131661
0.000784	0.132394
0.000785	0.133128
0.000786	0.133863
0.000787	0.134599
0.000788	0.135335
0.000789	0.136072
0.00079	0.136809
0.000791	0.137547
0.000792	0.138286
0.000793	0.139026
0.000794	0.139766
0.000795	0.140507
0.000796	0.141249
0.000797	0.141991
0.000798	0.142734
0.000799	0.143478
0.0008	0.144222
0.000801	0.144967
0.000802	0.145712
0.000803	0.146459
0.000804	0.147206
0.000805	0.147953
0.000806	0.148702
0.000807	0.14945
0.000808	0.1502
0.000809	0.15095
0.00081	0.151701
0.000811	0.152453
0.000812	0.153205
0.000813	0.153958
0.000814	0.154712
0.000815	0.155466
0.000816	0.156221
0.000817	0.156976
0.000818	0.157732
0.000819	0.158489
0.00082	0.159247
0.000821	0.160005
0.000822	0.160764
0.000823	0.161523
0.000824	0.162283
0.000825	0.163044
0.000826	0.163805
0.000827	0.164567
0.000828	0.16533
0.000829	0.166093
0.000831	0.166052
0.000832	0.16601
0.000833	0.165969
0.000834	0.165927
0.000835	0.165886
0.000836	0.165844
0.000837	0.165803
0.000838	0.165761
0.000839	0.16572
0.00084	0.165679
0.000841	0.165637
0.000842	0.165596
0.000843	0.165554
0.000844	0.165513
0.000845	0.165472
0.000846	0.16543
0.000847	0.165389
0.000848	0.165348
0.000849	0.165306
0.00085	0.165265
0.000851	0.165224
0.000852	0.165182
0.000853	0.165141
0.000854	0.1651
0.000855	0.165058
0.000856	0.165017
0.000857	0.164976
0.000858	0.164935
0.000859	0.164893
0.00086	0.164852
0.000861	0.164811
0.000862	0.16477
0.000863	0.164729
0.000864	0.164688
0.000865	0.164646
0.000866	0.164605
0.000867	0.164564
0.000868	0.164523
